Job Category,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18
Software Engineering,Python,NumPy,Pandas,Scikit-learn,TensorFlow,Keras,PyTorch,SQL,Git,Flask,FastAPI,Docker,Azure,AWS,,,,
Software Engineering,Core,SQL,Server,Entity,Framework,JavaScript,jQuery,RESTful,API,Git,Azure,AWS,Angular,React,Python,Machine Learning,,
Software Engineering,Laravel,React,Vue,Angular,MySQL,MSSQL,Server,RESTful,API,Git,Node.js,MongoDB,AWS,Docker,,,,
Software Engineering,Java,EE,Spring,Boot,React.js,Redux,AWS,GCP,Linux,,,,,,,,,
Software Engineering,Next.js,Node.js,AI,Integration,Google,Cloud,Platform,Dotnet,Core,NoSQL,Python,SDLC,,,,,,
Software Engineering,Python,NumPy,Pandas,Scikit-learn,TensorFlow,Keras,PyTorch,SQL,Git,Flask,FastAPI,Docker,Azure,AWS,,,,
Software Engineering,C#,ASP.NET,Core,SQL,Server,Entity,Framework,JavaScript,jQuery,RESTful,API,Git,Azure,AWS,Angular,React,Python,Machine Learning AI
Software Engineering,Laravel,React,Vue,Angular,MySQL,MSSQL,Server,RESTful,API,Git,Node.js,MongoDB,AWS,Docker,,,,
Software Engineering,ASP.NET,WebAPI,Backend,Database Design,Architecture Design Patterns,,,,,,,,,,,,,
Software Engineering,AWS,Java,Oracle,Oracle,APEX,PostgreSQL,Powerpoint,Python,Programmer,React,NodeJS,mongoDB,mongoose,JavaScript,Github,Git,SQL,
Software Engineering,.Net Angular,API Development,C#,Data Structures,SQL,,,,,,,,,,,,,
Software Engineering,JavaScript,jQuery,JSON,Software,Development,XML,Ajax,,,,,,,,,,,
Software Engineering,JavaScript,PHP,Laravel,PHP,MySQL,ReactJS,API Development,,,,,,,,,,,
Software Engineering,Java,SpringBoot,JavaScript,Leadership,Angular Java,,,,,,,,,,,,,
Software Engineering,Java,Groovy,OOP,JDK17,RegEx,Debugging,,,,,,,,,,,,
Software Engineering,Next.js,Integration,ReactJS,Node.js,FastAPI,mongoose,Architecture Design Patterns,SpringBoot,OOP,RESTful,Core,Entity,JavaScript,API,MongoDB,,,
Software Engineering,ReactJS,Core,Boot,API Development,PHP,Docker,Integration,FastAPI,NodeJS,Spring,Github,GCP,Cloud,Server,Scikit-learn,C#,,
Software Engineering,EE,Google,OOP,Java,Vue,Python,GCP,Next.js,Platform,Data Structures,Groovy,,,,,,,
Software Engineering,ReactJS,Next.js,Programmer,FastAPI,RegEx,Angular,JavaScript,Machine Learning AI,Database Design,C#,Docker,mongoDB,SQL,Integration,Platform,,,
Software Engineering,Leadership,Groovy,mongoDB,Boot,Framework,OOP,Development,APEX,ReactJS,ASP.NET,SQL,PHP,,,,,,
